#{"t_start": 1605293783.280832, "env_id": null}
r,l,t
0.7,113,2.438686
0.8,120,4.742324
0.7,165,7.92164
0.6,60,9.135342
0.7,168,21.694931
0.7,401,39.120884
0.7,401,47.211591
0.7,103,49.229244
0.8,182,62.244154
0.8,61,63.52418
-0.1,186,67.322251
0.8,69,68.781334
0.7,37,78.911857
0.7,95,80.729901
0.9,149,83.747296
0.8,59,84.986598
0.8,272,99.930518
0.7,49,100.939751
0.7,19,101.377302
0.9,129,104.110801
0.7,78,105.786425
2.0,22,106.2209
0.7,75,107.726614
0.7,24,108.230438
0.7,33,108.88413
0.8,38,119.053419
0.8,238,125.654463
0.7,42,127.186218
0.8,90,130.266008
0.9,26,131.249356
0.8,106,143.673036
0.7,36,144.478512
0.8,81,146.299565
0.7,60,147.832025
0.7,251,154.241393
0.8,245,171.901947
0.7,151,176.10496
0.7,147,179.906766
0.7,84,191.743857
0.8,77,193.700387
0.7,193,198.332211
0.8,119,201.367114
0.7,19,201.813886
0.8,16,202.151428
0.7,45,214.039067
0.8,13,214.337676
0.8,63,215.787481
0.7,401,224.743764
0.8,113,236.847155
0.8,56,238.141628
0.8,32,238.919167
0.8,70,240.573536
0.8,18,241.044509
0.8,57,242.755029
0.8,186,247.206706
0.8,126,260.767392
0.9,401,279.570214
0.8,27,280.198784
0.8,188,284.490368
0.8,83,286.219163
0.8,56,287.425678
0.8,39,288.253426
0.8,401,305.653133
0.7,35,306.398814
0.8,33,307.098238
0.8,24,307.602948
0.8,31,308.232566
0.8,25,308.811596
0.8,52,309.871107
0.8,107,321.381752
0.8,186,325.010484
0.8,45,325.966952
0.8,46,326.927496
0.8,154,340.015148
0.8,63,341.532342
0.8,72,343.197556
0.8,185,347.183347
0.8,170,350.635766
0.8,64,361.963514
0.8,88,363.857474
0.8,45,364.784636
0.7,92,366.732506
0.8,29,367.420245
0.8,204,371.681002
0.9,29,381.83161
0.8,61,383.098881
0.8,16,383.625162
0.8,64,384.986763
0.8,68,386.386728
0.8,86,388.225249
0.8,45,389.185397
0.8,44,390.059369
0.8,12,390.310511
0.8,123,402.095653
0.8,47,403.109902
0.8,353,410.323004
0.8,153,422.841683
0.8,38,423.795497
0.8,50,424.957053
0.7,21,425.390449
0.8,25,425.896339
0.8,36,426.670978
0.8,46,427.662556
0.8,24,428.145308
0.8,45,429.014133
0.8,19,429.414752
0.8,33,430.055951
0.8,131,441.98082
0.9,110,444.601705
0.8,72,446.393229
0.8,39,447.440498
0.8,159,451.103116
0.8,40,452.120559
0.7,60,453.599061
0.8,38,465.219159
0.9,71,466.903919
0.8,41,468.22968
-0.3,118,471.601992
-0.2,165,475.769321
0.8,82,488.381802
0.7,157,492.400214
0.9,53,493.536736
0.8,75,495.510233
0.8,24,496.032123
0.8,37,496.812547
0.9,84,498.629706
0.8,66,500.12548
0.8,214,514.949271
0.8,42,516.494452
0.8,284,534.572909
0.8,66,536.038314
0.8,105,538.436942
0.8,41,539.371309
0.8,218,544.51265
0.8,63,546.298372
0.8,38,556.956581
0.8,204,562.173564
0.8,168,565.941805
0.8,23,566.506548
0.8,25,567.123364
0.8,133,581.704472
0.8,165,585.532006
0.9,164,589.537908
0.8,50,590.886438
0.8,25,591.678614
0.8,235,606.64566
0.8,39,607.496989
0.8,103,609.723303
0.8,39,610.530686
0.8,139,623.243175
0.8,30,623.89168
0.8,24,624.397394
0.8,40,625.646933
0.8,123,628.351976
0.9,194,632.548456
0.8,26,633.328908
0.8,293,650.842471
0.9,63,652.53205
0.9,131,655.549342
0.8,36,656.280865
0.8,259,671.465463
0.8,139,675.145628
0.8,52,676.366381
2.0,22,676.912725
0.8,37,677.773124
0.8,25,678.302664
0.8,39,689.540229
0.8,164,693.791859
0.8,59,695.157937
0.9,178,700.137578
2.0,22,700.704158
0.9,41,701.929022
0.8,68,715.185672
0.8,33,715.980309
0.8,135,719.020216
0.8,117,721.568853
0.8,23,722.122003
0.8,228,736.738174
0.8,33,737.527355
0.8,110,740.268338
0.8,25,740.987233
0.8,223,746.754947
0.8,46,747.79939
0.8,37,759.683371
0.8,114,762.468782
0.9,30,763.227292
0.8,31,763.902325
0.8,37,764.685236
0.9,31,765.378259
0.8,34,766.258528
0.8,24,766.910556
0.8,32,767.747289
0.8,124,770.726638
2.0,58,782.591715
0.8,178,787.080385
0.8,22,787.592522
0.8,401,807.115921
0.8,154,810.974535
2.0,22,811.485931
0.8,206,816.230246
2.0,20,816.642139
0.8,24,827.900173
0.8,184,831.930358
2.0,20,832.38165
2.0,20,832.794234
0.8,25,833.314986
2.0,20,833.741539
0.8,101,836.140182
0.8,60,837.443938
0.8,20,837.891022
0.8,24,838.407012
0.8,24,849.55271
0.9,94,851.46285
0.8,25,851.991313
0.8,19,852.395314
0.9,119,855.074351
0.8,23,855.781902
0.8,107,858.580493
1.0,184,873.696991
0.8,50,874.855513
0.8,20,875.304294
2.0,21,875.777383
0.8,78,877.397147
0.8,133,880.336428
0.8,205,895.485702
2.0,20,896.000254
2.0,20,896.502967
2.0,24,896.999817
0.9,157,900.47491
0.8,50,901.682832
0.8,21,902.197264
0.8,21,902.682368
0.8,22,903.140365
2.0,19,903.549898
0.9,79,905.358396
0.8,30,915.833144
0.8,20,916.269928
2.0,21,916.809281
0.8,21,917.323767
0.8,128,920.413836
2.0,20,920.888578
2.0,20,921.320346
0.8,256,926.95507
0.8,50,938.296506
2.0,22,938.75758
0.9,54,939.961254
0.8,21,940.477433
2.0,25,941.18506
0.9,42,942.267733
1.0,73,944.011513
2.0,20,944.445578
0.8,22,944.988005
2.0,21,945.511726
0.8,162,949.177081
2.0,21,959.921881
0.8,144,963.348407
0.8,39,964.384913
2.0,19,964.790357
0.8,26,965.481629
0.8,44,966.606195
0.8,39,967.558564
0.8,50,969.205343
2.0,21,969.928449
2.0,22,970.701811
0.8,27,971.400891
0.9,27,972.079678
2.0,21,972.592975
0.8,53,983.776714
0.8,130,986.513152
2.0,21,986.973016
2.0,21,987.406014
2.0,20,987.850956
2.0,21,988.278617
-0.2,135,991.280034
0.9,120,994.408536
2.0,20,994.901922
2.0,22,1005.898361
0.9,401,1015.703201
0.8,33,1016.65023
2.0,21,1017.238526
0.8,22,1017.88235
0.8,31,1029.332492
0.9,68,1031.392216
0.9,112,1034.582546
0.8,95,1037.178789
2.0,22,1037.750979
2.0,22,1038.372442
2.0,21,1039.090842
0.8,54,1040.610472
0.8,20,1041.132344
2.0,22,1041.88307
0.8,74,1054.488853
0.8,46,1055.512755
2.0,21,1056.00686
0.8,57,1057.386378
0.8,21,1057.876684
0.8,59,1059.188435
0.8,27,1059.72031
0.8,20,1060.133976
0.8,22,1060.639194
0.8,22,1061.150193
0.8,137,1064.335139
0.8,53,1065.592318
0.8,21,1076.21134
2.0,21,1076.691046
0.8,21,1077.158272
0.8,41,1077.970367
0.8,39,1078.817366
0.8,150,1082.345451
2.0,21,1082.908979
0.9,30,1083.619348
0.8,22,1084.270977
0.9,75,1086.097132
0.8,45,1087.104192
0.8,60,1099.333759
0.8,25,1099.941636
0.8,65,1101.890844
2.0,28,1102.782411
0.8,25,1103.463537
0.9,55,1104.925836
0.8,22,1105.478821
0.8,20,1105.927898
0.8,88,1107.988876
0.8,189,1123.587158
0.8,25,1124.314432
0.7,101,1126.921579
0.8,25,1127.649789
0.8,74,1129.742091
2.0,22,1130.305774
0.8,22,1130.850306
