#{"t_start": 1605293783.2334216, "env_id": null}
r,l,t
0.8,31,1076.77933
0.8,24,1077.297769
0.8,106,1079.542101
0.8,48,1080.595774
2.0,25,1081.286496
0.8,66,1082.849249
2.0,21,1083.389012
2.0,24,1084.094489
0.8,52,1085.485931
0.9,90,1087.463279
2.0,22,1088.015421
0.8,51,1100.066534
2.0,20,1100.704185
0.9,31,1101.548424
2.0,21,1102.166332
0.8,98,1104.893011
0.8,143,1108.306811
2.0,21,1108.935749
0.8,87,1111.162355
0.8,49,1122.940521
0.9,73,1125.042692
0.8,21,1125.574793
2.0,20,1126.091162
0.8,128,1129.630975
0.8,106,1132.364107
0.8,36,1133.169606
0.8,41,1134.134886
0.8,25,1134.766892
2.0,20,1135.271262
0.8,38,1145.964998
0.8,48,1147.231556
2.0,19,1147.631387
0.8,57,1148.883508
0.8,21,1149.36821
0.8,23,1149.927013
2.0,22,1150.446353
0.8,20,1150.96695
2.0,21,1151.458609
0.9,133,1154.55919
0.8,23,1155.111267
0.8,108,1157.795195
2.0,20,1168.174557
2.0,21,1168.712222
2.0,21,1169.184994
2.0,102,1171.615007
0.8,47,1172.826797
0.8,38,1173.643092
2.0,21,1174.117459
0.8,21,1174.650539
2.0,21,1175.200981
0.8,21,1175.694159
0.8,38,1176.598429
0.9,44,1177.704275
0.8,44,1178.834323
0.8,21,1179.354593
0.8,58,1191.96206
0.8,160,1195.984074
0.8,22,1196.507849
0.8,75,1198.337048
2.0,20,1198.887267
0.8,20,1199.311226
0.8,83,1200.926109
2.0,21,1201.387
0.8,52,1202.46358
0.8,25,1203.029905
0.9,82,1214.906372
0.8,56,1216.225996
0.8,30,1216.910547
0.8,107,1219.231131
2.0,20,1219.676141
2.0,21,1220.238138
2.0,20,1220.748468
2.0,20,1221.241719
2.0,20,1221.80917
0.8,23,1222.540275
0.8,98,1224.915925
0.8,50,1237.042755
2.0,21,1237.794622
0.8,83,1240.157044
2.0,20,1240.714587
0.8,19,1241.353361
0.8,27,1242.334007
2.0,21,1242.893239
2.0,22,1243.542685
0.8,20,1244.03563
0.8,20,1244.638917
2.0,20,1245.319972
0.8,36,1246.501879
0.8,50,1247.967159
2.0,21,1248.645937
2.0,21,1249.304105
0.9,112,1263.80504
2.0,20,1264.301053
0.8,84,1266.398053
2.0,20,1266.853015
0.8,21,1267.372183
0.8,45,1268.386944
0.8,24,1268.92578
2.0,20,1269.439235
2.0,21,1270.079846
0.8,30,1271.073859
2.0,20,1271.644003
2.0,20,1272.060741
2.0,19,1272.463668
0.8,27,1273.058435
0.8,96,1275.458084
0.8,176,1290.38468
0.7,23,1290.956565
2.0,20,1291.420933
0.8,90,1293.438235
0.0,222,1298.069919
-0.2,230,1312.167418
2.0,20,1312.564963
2.0,21,1312.983937
0.8,154,1316.381498
0.8,71,1317.962493
0.8,50,1328.095996
0.8,244,1333.249875
0.8,22,1333.722813
0.9,160,1337.20819
2.0,21,1337.627162
2.0,20,1338.082066
0.9,131,1350.020336
2.0,21,1350.468623
0.8,29,1351.094506
0.8,205,1355.479479
0.8,20,1355.950148
0.8,26,1356.511129
0.8,63,1357.96791
0.8,21,1358.447275
2.0,20,1368.303558
2.0,21,1368.84375
2.0,20,1369.291407
0.8,55,1370.571612
2.0,21,1371.051595
0.8,20,1371.65103
2.0,20,1372.121468
0.7,24,1372.735759
0.9,251,1378.563772
0.8,124,1391.812571
0.8,21,1392.431557
0.7,130,1395.581395
2.0,21,1396.124154
0.8,20,1396.578686
0.7,24,1397.134046
0.8,21,1397.615668
2.0,21,1398.085863
2.0,19,1398.528883
2.0,21,1399.048039
1.0,44,1400.08544
0.8,20,1400.587686
0.8,40,1401.836847
2.0,21,1402.461193
0.0,22,1403.132998
0.7,26,1413.329827
0.8,21,1413.832244
0.8,32,1414.652896
0.8,21,1415.198597
0.8,21,1415.721132
2.0,20,1416.167127
0.8,21,1416.650748
0.9,172,1420.609438
0.8,22,1421.185478
0.8,23,1421.805947
2.0,20,1422.410296
0.8,63,1423.851406
0.8,19,1424.462242
2.0,20,1424.99064
0.8,312,1443.997144
0.8,38,1444.930273
0.8,23,1445.540898
0.8,76,1447.394714
0.9,173,1461.604697
0.8,23,1462.216
0.8,23,1462.766263
0.9,41,1463.819743
2.0,24,1464.368948
0.8,22,1464.969814
0.8,93,1467.526691
0.8,22,1468.316079
0.9,30,1469.521785
2.0,20,1470.03318
0.8,22,1470.594521
2.0,20,1471.187976
2.0,20,1471.778821
2.0,21,1472.258292
0.9,52,1473.580821
0.8,25,1484.744682
0.8,25,1485.3997
0.8,22,1485.97765
0.8,19,1486.43115
2.0,20,1486.894729
0.8,24,1487.455553
0.8,29,1488.125247
2.0,21,1488.620578
2.0,21,1489.118535
0.8,24,1489.721614
0.8,23,1490.286763
0.8,28,1490.951312
0.8,28,1491.649739
2.0,20,1492.183797
0.9,32,1493.009764
2.0,21,1493.545137
2.0,20,1494.075364
0.8,58,1495.518945
0.8,31,1496.45503
0.8,23,1497.261945
2.0,20,1508.576557
2.0,21,1509.088362
0.8,22,1509.621765
2.0,21,1510.148148
0.8,23,1510.697469
0.8,134,1514.476237
0.8,26,1515.135354
0.9,35,1515.976727
0.8,21,1516.544502
2.0,20,1517.045078
0.8,20,1517.527587
0.8,21,1518.036209
0.8,21,1518.511008
0.8,49,1519.759407
0.9,82,1531.449399
2.0,20,1532.061933
0.9,36,1533.039628
2.0,21,1533.54179
0.8,47,1534.600368
0.8,21,1535.096569
2.0,21,1535.608168
0.8,21,1536.121194
0.8,21,1536.632439
0.8,21,1537.182959
0.9,30,1537.97097
0.8,77,1539.78669
0.8,39,1540.632181
0.8,20,1541.073253
0.8,22,1541.546283
0.9,63,1543.080407
0.8,22,1554.951091
0.9,173,1559.926549
2.0,22,1560.522403
2.0,27,1561.324954
2.0,21,1561.88904
0.9,229,1567.489901
0.8,203,1584.769336
0.8,21,1585.29077
0.8,20,1585.766738
2.0,21,1586.257747
0.8,21,1586.762633
2.0,20,1587.229453
0.8,21,1587.731085
0.8,20,1588.265222
2.0,20,1588.810731
0.8,61,1590.449837
0.8,198,1608.98113
2.0,20,1609.611468
0.8,22,1610.382792
0.8,73,1612.94507
0.8,24,1613.594362
2.0,20,1614.161439
2.0,20,1614.923438
0.8,21,1615.62449
0.8,22,1616.25925
0.8,38,1617.612735
0.8,111,1620.930995
0.8,47,1622.161118
0.8,29,1633.190791
0.8,118,1636.825547
2.0,20,1637.446368
0.8,21,1638.089803
0.9,45,1639.273432
2.0,22,1639.96305
1.0,211,1646.398525
0.8,152,1661.673071
0.8,333,1670.200944
0.8,55,1671.711984
2.0,20,1672.394887
2.0,21,1684.773021
0.9,48,1685.998068
2.0,20,1686.523873
0.8,107,1689.084421
2.0,20,1689.639255
0.8,22,1690.190737
0.8,22,1690.890792
2.0,21,1691.536461
2.0,21,1692.146085
2.0,21,1692.711961
0.8,22,1693.235485
0.8,21,1693.747
2.0,21,1694.3699
0.8,21,1695.048396
0.8,21,1695.673977
2.0,21,1696.317857
1.0,40,1697.522596
2.0,20,1698.079577
0.8,21,1708.916123
0.8,22,1709.473197
0.8,21,1710.035537
0.8,22,1710.572423
0.9,88,1712.694603
0.8,22,1713.208302
2.0,20,1713.651067
0.9,145,1716.964974
0.9,165,1730.794181
2.0,21,1731.34106
2.0,20,1731.883786
2.0,22,1732.430844
0.8,168,1736.443666
2.0,21,1737.007836
2.0,21,1737.57448
2.0,20,1738.082494
0.8,64,1739.577162
0.8,116,1742.241559
2.0,21,1742.724727
2.0,27,1753.332992
0.0,401,1762.418528
0.8,29,1763.049092
1.0,80,1774.736552
0.8,155,1778.320335
2.0,22,1778.894088
0.8,20,1779.389732
2.0,21,1779.854511
0.8,32,1780.617059
0.8,29,1781.283639
2.0,21,1781.833041
2.0,21,1782.35254
0.8,21,1782.918509
0.8,22,1783.444766
0.7,171,1797.179466
0.8,104,1799.71023
2.0,21,1800.374006
2.0,21,1801.014913
2.0,22,1801.693508
2.0,20,1802.20278
2.0,20,1802.673839
2.0,21,1803.221841
0.8,20,1803.722852
2.0,21,1804.285695
2.0,20,1804.73657
0.8,22,1805.28027
2.0,20,1805.770145
0.8,21,1806.310135
2.0,21,1806.834454
0.8,22,1807.338258
0.8,21,1807.792209
0.8,22,1808.286264
2.0,20,1808.755666
0.8,23,1819.31134
2.0,21,1819.78186
0.9,32,1820.483856
0.8,55,1821.748463
0.8,22,1822.319638
2.0,20,1822.806294
0.8,54,1824.031568
0.9,141,1827.132337
0.8,22,1827.653636
2.0,21,1828.243549
2.0,21,1828.772684
2.0,20,1829.328549
2.0,21,1829.942764
2.0,20,1830.453872
2.0,21,1830.969136
0.8,21,1842.224286
0.8,23,1842.791825
0.8,23,1843.337574
0.8,21,1843.932195
0.8,21,1844.512004
0.8,90,1846.582325
0.9,221,1851.762082
0.8,85,1853.831659
0.8,23,1864.221674
2.0,21,1864.766713
0.8,78,1866.708606
2.0,21,1867.239202
2.0,20,1867.722783
0.0,358,1876.191359
0.7,53,1887.381535
0.9,150,1890.85976
0.9,137,1894.074954
2.0,21,1894.644858
2.0,22,1895.226825
2.0,21,1895.697691
-1.0,235,1911.143597
2.0,20,1911.658234
0.8,27,1912.317527
0.8,22,1912.820983
0.9,169,1916.767923
2.0,20,1917.223889
2.0,21,1917.750376
2.0,22,1918.251792
2.0,20,1918.765728
2.0,21,1919.282499
2.0,20,1919.783844
0.8,38,1930.620822
0.8,153,1934.124289
0.8,64,1935.622535
0.9,54,1936.959917
0.8,21,1937.46619
0.8,21,1937.962176
2.0,22,1938.481321
0.8,33,1939.25273
2.0,20,1939.740989
0.8,23,1940.313768
0.8,34,1941.089673
2.0,21,1941.598379
2.0,22,1942.103487
0.9,36,1952.846211
2.0,21,1953.305599
0.9,67,1954.769148
0.8,23,1955.277918
0.8,24,1955.828739
0.8,75,1957.621896
0.8,26,1958.2758
0.8,22,1958.826908
0.8,108,1961.455159
0.8,84,1963.518281
0.8,105,1975.978904
0.8,21,1976.511317
0.8,21,1977.082784
2.0,21,1977.594023
0.8,27,1978.197733
0.8,59,1979.531212
2.0,20,1980.026942
2.0,21,1980.590538
0.8,119,1983.340179
0.8,44,1984.294804
0.9,121,1996.848034
2.0,20,1997.359234
1.0,155,2000.956231
0.8,65,2002.436335
0.9,121,2005.219875
0.9,74,2006.958882
0.8,27,2007.615261
0.8,71,2019.200481
0.8,21,2019.70491
0.9,118,2022.531908
0.8,45,2023.502445
2.0,21,2024.05609
2.0,19,2024.54448
0.8,25,2025.129978
0.8,131,2028.225535
0.8,53,2029.414742
0.8,260,2045.70147
2.0,20,2046.185668
0.8,20,2046.66773
2.0,21,2047.2061
0.8,143,2050.253514
2.0,21,2050.732102
2.0,21,2051.172101
2.0,19,2051.599905
0.8,44,2062.299676
2.0,20,2062.850375
2.0,21,2063.43882
2.0,21,2063.988171
0.8,21,2064.557656
2.0,22,2065.138627
2.0,22,2065.719245
2.0,21,2066.2502
2.0,21,2066.807155
0.9,187,2071.271266
2.0,20,2071.791382
2.0,21,2072.322034
0.8,22,2072.889125
0.8,34,2073.695401
2.0,21,2074.232973
0.9,35,2085.032905
0.8,22,2085.60229
0.8,74,2087.269463
0.8,34,2088.011884
0.9,127,2090.943356
2.0,21,2091.402243
0.8,23,2091.957986
0.8,296,2109.041991
0.8,42,2110.015136
0.9,83,2111.954412
0.8,22,2112.402784
2.0,21,2112.892821
2.0,21,2113.35035
