#{"t_start": 1605293783.2575963, "env_id": null}
r,l,t
0.8,90,1.975516
0.8,21,2.404986
0.7,65,3.601591
0.0,46,4.544806
0.9,218,8.784602
0.8,30,9.386138
0.0,26,9.890163
0.7,401,27.076612
0.8,25,27.596001
0.8,44,28.607419
0.7,199,41.864169
0.8,123,44.349262
0.7,16,44.66423
0.9,111,46.958435
0.7,59,48.143252
0.9,251,62.525649
0.7,76,64.116206
0.8,41,64.982033
0.8,30,65.61229
0.7,62,66.834461
0.8,244,81.073423
0.9,101,83.110543
0.9,199,87.311537
0.7,27,87.904385
0.7,16,88.233028
0.0,55,98.602252
0.7,154,101.812485
0.9,156,105.167655
0.7,344,121.74062
0.7,111,125.448198
0.7,43,127.036982
0.8,26,127.969626
0.7,37,129.280369
0.0,158,143.563406
0.9,75,145.266938
0.7,59,146.614863
0.7,137,149.943274
0.9,83,152.036536
0.8,29,152.640873
0.8,42,154.072654
0.8,16,154.443471
0.7,186,170.439969
0.7,21,171.119873
0.7,50,172.37292
0.7,58,174.241593
0.7,32,175.138725
0.7,140,178.804177
0.8,299,196.079244
0.7,69,197.571684
0.8,32,198.270195
0.8,18,198.796082
0.8,23,199.424781
0.8,298,217.301624
0.8,37,218.226639
0.8,29,218.975961
0.8,96,221.010252
0.7,34,221.817945
0.8,200,235.48961
0.7,104,237.969205
0.8,32,238.718142
0.8,30,239.439901
0.8,46,240.512149
0.8,166,244.907597
0.8,250,261.353234
0.8,34,262.033394
0.8,24,262.515253
0.8,86,264.317413
0.8,56,265.478984
0.8,38,266.316754
0.7,50,267.406061
0.8,229,282.736931
0.8,44,283.781601
0.8,12,284.170521
0.8,67,285.545398
0.8,59,286.790647
0.8,138,289.65759
0.8,45,299.986364
2.0,26,300.505714
0.7,163,303.705935
0.8,184,307.505102
0.8,42,308.430852
0.8,401,325.796855
0.8,51,326.845131
0.8,112,329.182631
0.8,50,340.193531
0.8,35,340.994883
0.8,170,344.911037
0.9,105,347.051321
0.8,114,349.458404
0.9,148,362.493098
0.8,179,366.221647
0.8,148,369.399029
0.9,49,370.414015
0.8,51,371.461997
0.9,266,386.83492
0.8,47,387.848397
0.8,401,405.498406
0.8,24,405.966779
0.8,63,407.17039
0.9,227,411.720701
0.8,24,421.446179
0.8,35,422.262411
0.8,21,422.81139
0.8,38,423.752959
0.8,327,430.608653
2.0,22,431.051308
0.7,50,432.050915
0.8,25,441.787308
0.8,143,445.29454
0.8,176,449.526149
0.7,38,450.44192
0.7,44,451.534812
0.8,113,464.968415
0.7,21,465.470245
0.7,35,466.248773
0.7,58,467.97897
0.8,32,469.052854
0.7,117,472.163974
0.8,112,475.048731
0.7,39,476.006637
0.8,20,476.494394
0.7,117,489.727705
0.8,67,491.644581
0.8,42,492.752566
-0.2,217,497.71199
0.8,21,498.135632
0.8,60,499.480433
2.0,22,500.02993
0.8,284,517.591442
0.8,29,518.390865
0.8,117,521.701359
0.8,55,522.923951
0.8,256,539.037049
1.0,72,540.712312
0.8,71,542.341671
0.8,82,544.324076
0.8,42,545.295351
0.9,205,560.736936
0.8,377,580.830607
2.0,21,581.334778
0.8,99,583.506288
0.8,25,584.131692
0.9,32,584.895372
0.8,80,586.756505
0.8,28,587.339509
0.8,25,587.959291
0.8,129,591.574685
0.8,126,604.248181
0.8,30,604.941359
0.8,63,606.230793
0.8,22,606.767208
0.8,110,609.116691
0.9,41,609.994737
0.8,36,610.755277
0.8,32,611.412044
2.0,24,611.948307
0.8,214,626.694108
0.8,160,630.03472
0.8,40,630.832902
0.8,77,632.724604
0.8,31,633.616397
0.8,270,650.522671
0.8,60,652.178982
2.0,62,653.76813
0.8,128,656.469671
0.8,24,656.991731
0.8,16,657.336869
0.8,60,668.24196
0.8,222,673.410343
0.8,73,675.299568
0.8,276,692.456547
0.8,33,693.207364
2.0,25,693.776446
0.8,401,715.95763
0.8,28,716.541383
0.8,173,720.479186
0.8,94,722.521137
0.8,68,723.933212
0.9,290,740.525017
0.8,102,743.310847
0.9,138,746.728371
0.8,312,765.063891
0.8,35,765.896211
0.8,26,766.570115
2.0,22,767.179215
0.8,21,767.70843
2.0,21,768.221582
0.8,25,768.7892
0.8,46,769.887003
0.9,389,789.928813
0.8,25,790.517143
0.8,26,791.064733
2.0,20,791.545105
0.8,25,792.087137
2.0,26,792.664124
0.8,74,794.223866
0.8,219,809.962965
0.8,84,811.986383
0.9,279,829.052346
0.8,206,833.470327
2.0,23,833.962884
0.8,176,838.024776
0.9,44,849.54067
0.8,63,850.844717
0.8,52,851.909368
2.0,21,852.347859
2.0,19,852.751269
2.0,22,853.192025
2.0,21,853.680991
0.8,86,855.938729
2.0,21,856.499603
0.8,109,859.322229
0.9,277,876.373487
0.0,181,880.300831
0.9,25,880.894232
2.0,20,881.324485
0.9,39,882.138781
2.0,22,882.694689
0.8,62,894.637499
0.9,113,897.320014
0.8,21,897.792008
0.8,20,898.231485
0.8,20,898.677266
0.8,352,916.422562
0.8,59,917.869808
0.8,27,918.509855
2.0,30,919.31515
0.8,177,923.323273
2.0,20,923.824538
0.8,108,926.142838
0.8,41,927.01779
0.8,155,940.756455
0.8,198,945.663491
0.8,58,946.985687
0.8,52,948.145306
2.0,22,948.61449
2.0,20,949.049677
2.0,20,949.532456
0.8,21,960.286787
2.0,20,960.813154
0.8,21,961.346875
0.9,235,967.040687
0.8,38,968.130577
0.8,37,969.433079
0.8,22,970.151565
0.8,21,970.850437
0.8,45,971.967163
2.0,20,972.449727
0.8,76,984.162012
2.0,19,984.533107
0.8,21,984.993915
0.8,279,991.018936
2.0,21,991.488398
0.8,21,992.052723
2.0,21,992.676016
0.8,52,993.952204
0.8,73,1006.340603
0.9,241,1012.235668
0.9,55,1013.600399
0.8,102,1016.045047
2.0,21,1016.615178
0.9,227,1033.662998
0.8,74,1035.993039
0.8,208,1041.812671
2.0,22,1042.387053
0.8,26,1043.258538
0.8,20,1054.292467
0.8,55,1055.587344
0.8,86,1057.620802
2.0,22,1058.175127
0.8,263,1064.003098
0.8,107,1076.644363
0.9,73,1078.185466
0.8,21,1078.635937
0.8,52,1079.816891
0.8,212,1085.085688
0.8,103,1087.51679
0.8,20,1088.027473
2.0,22,1099.266306
0.8,43,1100.453987
0.8,67,1102.395328
0.8,215,1107.829293
0.8,96,1110.410708
2.0,20,1110.884137
0.8,26,1111.509489
2.0,21,1112.0635
2.0,21,1123.234211
0.8,124,1126.588146
0.7,28,1127.406651
0.8,23,1128.038965
0.8,40,1129.104657
0.8,112,1132.042858
0.7,104,1134.492798
0.8,20,1135.001484
0.8,62,1146.373886
2.0,19,1146.870955
0.8,63,1148.201595
0.9,37,1149.09562
2.0,20,1149.563216
0.8,56,1150.975041
0.9,188,1155.340312
0.9,299,1172.603391
0.9,72,1174.231551
2.0,23,1174.814264
0.8,37,1175.736894
2.0,21,1176.220084
2.0,22,1176.745966
2.0,22,1177.285747
0.8,26,1177.954772
0.9,61,1179.541239
0.9,27,1180.217937
2.0,21,1191.751298
2.0,20,1192.382937
0.8,203,1197.369863
2.0,20,1197.81382
0.8,161,1201.318605
2.0,21,1201.806031
0.8,56,1202.929163
0.8,89,1215.061229
0.8,23,1215.572239
2.0,21,1216.05466
0.8,38,1216.970165
0.8,127,1219.735493
0.8,42,1220.821511
0.8,21,1221.330122
2.0,21,1222.045187
2.0,21,1222.620615
0.8,21,1223.139109
2.0,20,1223.586856
0.8,25,1224.195717
0.8,194,1240.421747
0.8,24,1241.209329
0.8,21,1241.901634
0.8,20,1242.613982
0.8,80,1244.85395
0.8,21,1245.597504
0.9,158,1250.539614
2.0,20,1251.176146
0.8,20,1251.801046
0.8,22,1263.446788
0.8,109,1266.155691
0.9,45,1267.268125
0.8,21,1267.720141
0.8,22,1268.217762
