#{"t_start": 1605293783.302526, "env_id": null}
r,l,t
0.7,168,3.387294
0.7,19,3.802607
0.8,79,5.351196
0.7,164,8.513132
0.8,20,8.949678
0.8,40,9.720715
0.7,116,21.276214
0.7,139,23.920242
0.8,40,24.702973
0.8,40,25.60899
0.0,401,43.053872
0.7,61,44.270106
0.8,20,44.710654
0.7,25,45.232848
0.7,61,46.489273
0.0,147,58.633821
0.7,74,60.250008
0.8,243,65.264443
0.7,144,68.142556
0.8,66,78.937273
0.7,76,80.354688
0.7,282,86.151828
0.7,173,99.043527
0.8,47,100.016861
0.7,27,100.548454
-0.3,79,102.255685
0.7,23,102.73461
0.8,17,103.097005
0.8,55,104.28669
0.7,401,122.273902
0.9,72,124.665856
0.8,21,125.307911
0.7,67,127.788006
0.7,10,128.235855
0.7,35,129.428132
0.7,47,131.038606
0.7,30,131.806702
0.8,40,132.648627
0.7,49,143.849006
0.7,56,145.088798
0.7,31,145.795994
0.8,52,146.941632
0.7,32,147.930915
0.8,100,150.25276
0.8,68,151.933628
0.8,40,152.904233
0.7,25,153.752251
0.8,184,169.768173
0.8,46,171.020357
0.7,96,173.837834
0.7,18,174.427597
0.8,131,177.951353
0.8,66,179.480479
0.8,67,190.915506
0.8,23,191.437871
0.8,315,199.239509
0.7,33,200.107802
0.8,242,216.621565
0.7,36,217.430426
0.8,38,218.380844
0.8,313,225.139742
0.7,28,235.205774
0.8,30,235.874738
0.7,46,237.078761
0.8,27,237.677469
0.8,115,240.36054
0.8,65,242.230024
0.8,71,243.970501
0.8,46,245.199477
0.8,195,260.380553
0.8,401,268.80161
0.8,19,279.643677
0.8,18,280.022062
0.8,22,280.541985
2.0,24,281.051494
0.8,27,281.610274
0.8,45,282.592339
0.8,57,284.025562
0.8,96,286.037303
0.8,39,286.900697
0.8,362,303.569825
0.8,232,308.452352
0.8,28,309.026247
0.8,69,319.751433
0.8,52,320.811164
0.8,58,321.971877
0.8,102,323.931604
0.8,38,324.675774
0.8,51,325.71502
0.8,46,326.671098
0.8,32,327.350258
0.7,24,327.86155
0.8,52,328.931326
0.8,125,341.731191
0.8,246,347.061949
0.8,48,348.070739
0.8,56,349.224128
0.8,159,362.523384
0.8,225,367.285824
0.8,201,371.47446
0.8,50,382.098822
0.8,401,390.724524
0.8,13,390.983219
0.8,62,401.427011
0.8,58,402.685585
0.8,19,403.144273
0.8,32,403.849533
0.8,130,406.46045
0.8,48,407.414866
0.8,75,408.899432
0.8,49,409.924973
0.8,75,411.38918
0.8,28,421.147911
0.9,61,422.612629
0.8,13,422.975374
0.8,34,423.842785
0.8,10,424.091428
0.7,98,426.199129
0.8,47,427.183431
0.8,109,429.420504
0.8,128,431.916381
0.8,18,441.477004
0.8,90,443.788228
0.8,49,444.826949
0.7,49,445.969967
0.7,38,447.050561
0.4,388,467.084949
0.7,247,473.798403
0.8,45,475.174027
0.8,28,475.838855
0.7,67,477.566424
0.8,62,489.396041
0.8,93,491.994238
0.8,43,493.035909
0.8,293,499.654782
0.8,26,500.470428
0.8,124,512.752471
0.8,15,513.101692
0.8,24,513.64053
0.8,85,516.551313
0.8,80,519.092031
0.8,231,535.192696
1.0,101,537.478783
0.8,29,538.126152
0.8,79,539.978764
0.8,249,545.991867
-0.2,134,559.445
0.8,26,560.181366
0.8,21,560.623803
0.8,29,561.332545
0.8,23,561.81175
0.8,41,562.666303
0.9,30,563.313848
0.8,31,563.995787
0.8,26,564.57144
0.8,98,566.934212
2.0,59,568.377748
0.8,22,580.28766
0.8,99,582.554309
0.8,21,583.016861
0.7,30,583.715183
0.8,33,584.528859
0.8,51,585.781266
0.8,103,588.121592
0.8,40,589.290158
0.8,36,590.156624
0.8,57,591.85442
0.8,52,602.850866
0.8,37,603.642373
0.8,28,604.282964
0.8,152,607.564751
0.8,54,608.727433
0.8,20,609.164299
0.8,56,610.32301
0.8,39,611.108085
0.8,123,623.538388
0.8,63,625.07005
0.8,26,625.839094
0.8,23,626.336201
0.8,278,632.284531
0.8,401,652.837153
0.8,102,655.138192
0.8,65,656.538207
0.8,124,668.861166
0.8,401,678.379145
0.8,37,689.591961
0.8,100,692.158969
0.8,42,693.275665
0.8,24,693.864308
0.8,154,697.896485
0.8,47,699.203461
0.8,24,699.831105
0.8,214,716.837507
0.8,66,718.38356
2.0,21,718.842185
0.8,43,719.830903
0.8,181,723.628442
0.8,23,724.179158
0.8,29,724.788065
0.8,281,741.37593
0.8,24,741.950579
0.8,73,744.068266
0.8,26,744.76494
0.8,105,747.131475
0.8,35,747.974341
0.8,106,761.398055
0.9,57,762.986528
2.0,22,763.473032
0.8,54,764.603814
0.8,39,765.513032
0.8,22,766.078358
0.8,26,766.761322
0.8,29,767.511692
0.8,129,770.644647
0.8,41,771.800499
1.0,69,783.813389
0.8,26,784.487125
0.8,81,786.602527
0.8,25,787.173463
0.8,236,792.55693
0.8,122,805.813013
0.8,41,806.688976
0.8,64,808.1544
0.8,39,809.24506
0.8,58,810.634191
0.9,88,812.705917
0.8,21,813.218402
0.8,23,813.763366
0.8,24,814.311781
0.8,28,814.927949
0.8,40,815.836671
0.8,401,835.355201
0.8,21,835.908103
0.8,401,855.276967
2.0,21,855.965116
0.8,23,856.570086
0.8,184,861.174969
0.8,29,872.576125
0.8,69,874.116987
0.8,25,874.661027
0.8,21,875.158357
0.8,22,875.65083
0.7,41,876.517304
0.8,72,878.093669
0.8,21,878.551101
0.8,21,878.9765
0.8,45,879.964531
0.8,36,880.766161
1.0,68,882.28474
2.0,21,882.785436
0.8,132,896.364834
0.7,189,900.581807
0.7,23,901.050323
0.8,20,901.568421
0.9,227,916.610803
0.8,36,917.478071
0.8,119,920.316307
0.8,276,926.472843
2.0,21,926.895495
0.8,147,940.398398
0.8,25,941.117388
2.0,21,941.649508
0.8,23,942.305184
0.9,103,944.673172
0.8,22,945.247141
0.8,21,945.823451
0.8,194,960.437925
0.9,138,963.766615
0.8,21,964.291078
0.8,22,964.823724
0.8,21,965.326867
0.8,66,967.030163
0.8,31,967.862132
0.8,22,968.567675
0.8,54,970.490716
0.8,313,987.525413
0.8,111,990.014436
0.8,53,991.124967
0.8,41,992.150101
0.8,21,992.787385
0.8,237,1009.163959
0.9,103,1011.698078
0.9,68,1013.342445
0.9,63,1014.789723
0.8,51,1016.137023
0.8,22,1016.771808
1.0,24,1017.424834
0.8,24,1018.139902
0.8,48,1030.121955
0.8,92,1032.772625
0.8,21,1033.294722
0.8,21,1033.889284
0.8,24,1034.717008
0.8,22,1035.460484
0.9,53,1036.76001
0.8,26,1037.422585
0.8,21,1037.989711
2.0,22,1038.695065
2.0,38,1039.868651
0.8,221,1056.212341
2.0,20,1056.714997
2.0,21,1057.210105
0.8,35,1058.070619
0.8,22,1058.567892
0.8,102,1060.748801
0.8,22,1061.256389
0.8,126,1064.140486
0.8,35,1064.886829
0.8,172,1078.903608
0.8,20,1079.336718
0.8,30,1080.020198
0.8,22,1080.466461
0.8,21,1081.055531
0.8,66,1082.627026
0.8,43,1083.820411
0.8,30,1084.648026
0.8,58,1085.98161
0.9,44,1086.941031
0.9,114,1100.769214
0.8,22,1101.329228
0.8,114,1104.527184
0.8,31,1105.346862
0.8,41,1106.315244
0.8,23,1106.823174
0.9,60,1108.300556
0.8,37,1109.293716
0.8,66,1110.996537
0.8,22,1111.526219
0.8,42,1123.266506
0.8,22,1123.935034
0.9,125,1127.242046
0.8,29,1128.0685
0.8,21,1128.630448
0.0,401,1148.292422
0.9,108,1150.859895
0.8,53,1152.124083
0.8,49,1153.194989
0.8,20,1153.631415
0.8,101,1156.137287
0.8,22,1156.713177
0.8,41,1157.776913
2.0,21,1168.189935
0.8,59,1169.600013
0.8,29,1170.251488
0.8,24,1170.864168
0.8,22,1171.36205
0.8,20,1171.875208
0.8,21,1172.353801
0.8,154,1176.06344
0.9,31,1176.811544
0.9,100,1179.358614
0.9,183,1195.075153
0.8,32,1195.848068
0.9,319,1202.922983
2.0,21,1203.386012
0.8,21,1213.859772
0.8,257,1219.761112
2.0,21,1220.283113
